0.0003 	WARNING 	Monitor specification not found. Creating a temporary one...
14.9177 	EXP 	unnamed ShapeStim: ori = 14.0
14.9177 	EXP 	unnamed ShapeStim: ori = 14.0
14.9177 	EXP 	sent on actual flip
14.9511 	EXP 	unnamed ShapeStim: ori = 16.0
14.9511 	EXP 	unnamed ShapeStim: ori = 40.0
14.9511 	EXP 	unnamed ShapeStim: ori = 16.0
14.9511 	EXP 	unnamed ShapeStim: ori = 16.0
14.9511 	EXP 	unnamed ShapeStim: ori = 16.0
14.9511 	EXP 	unnamed ShapeStim: ori = 16.0
14.9511 	EXP 	sent on actual flip
14.9844 	EXP 	unnamed ShapeStim: ori = 18.0
14.9844 	EXP 	unnamed ShapeStim: ori = 45.0
14.9844 	EXP 	unnamed ShapeStim: ori = 18.0
14.9844 	EXP 	unnamed ShapeStim: ori = 18.0
14.9844 	EXP 	unnamed ShapeStim: ori = 18.0
14.9844 	EXP 	unnamed ShapeStim: ori = 18.0
14.9844 	EXP 	sent on actual flip
15.0177 	EXP 	unnamed ShapeStim: ori = 20.0
15.0177 	EXP 	unnamed ShapeStim: ori = 50.0
15.0177 	EXP 	unnamed ShapeStim: ori = 20.0
15.0177 	EXP 	unnamed ShapeStim: ori = 20.0
15.0177 	EXP 	unnamed ShapeStim: ori = 20.0
15.0177 	EXP 	unnamed ShapeStim: ori = 20.0
15.0177 	EXP 	sent on actual flip
15.0510 	EXP 	unnamed ShapeStim: ori = 22.0
15.0510 	EXP 	unnamed ShapeStim: ori = 55.0
15.0510 	EXP 	unnamed ShapeStim: ori = 22.0
15.0510 	EXP 	unnamed ShapeStim: ori = 22.0
15.0510 	EXP 	unnamed ShapeStim: ori = 22.0
15.0510 	EXP 	unnamed ShapeStim: ori = 22.0
15.0510 	EXP 	sent on actual flip
15.0844 	EXP 	unnamed ShapeStim: ori = 24.0
15.0844 	EXP 	unnamed ShapeStim: ori = 60.0
15.0844 	EXP 	unnamed ShapeStim: ori = 24.0
15.0844 	EXP 	unnamed ShapeStim: ori = 24.0
15.0844 	EXP 	unnamed ShapeStim: ori = 24.0
15.0844 	EXP 	unnamed ShapeStim: ori = 24.0
15.0844 	EXP 	sent on actual flip
15.0845 	EXP 	window1: mouseVisible = True
